0,-4.00938e-15, 5.57721e-13, 1.17684e-14, 1.12277e-12, -6.30607e-14, 8.2867e-13, 1.63821, -1.39909e-05, 
0.01,-2.04201e-12, 2.82158e-10, 5.96589e-12, 4.89619e-10, 2.85613e-11, 4.19308e-10, 1.63835, -1.39907e-05, 
0.02,-1.35004e-11, 1.84561e-09, 3.87601e-11, 2.66772e-09, 6.00584e-10, 2.74271e-09, 1.63872, -1.39892e-05, 
0.03,-4.31549e-11, 5.80258e-09, 1.20568e-10, 6.7e-09, 3.19303e-09, 8.62305e-09, 1.63931, -1.39854e-05, 
0.04,-1.00825e-10, 1.32593e-08, 2.7148e-10, 1.14444e-08, 1.02847e-08, 1.97043e-08, 1.64012, -1.39784e-05, 
0.05,-1.97839e-10, 2.53142e-08, 5.08579e-10, 1.44471e-08, 2.53554e-08, 3.76186e-08, 1.64116, -1.3967e-05, 
0.06,-3.47488e-10, 4.30551e-08, 8.45028e-10, 1.19381e-08, 5.28852e-08, 6.39827e-08, 1.64241, -1.39502e-05, 
0.07,-5.65462e-10, 6.75571e-08, 1.28921e-09, -1.17417e-09, 9.83538e-08, 1.00394e-07, 1.64389, -1.3927e-05, 
0.08,-8.70261e-10, 9.98801e-08, 1.84388e-09, -3.1307e-08, 1.68239e-07, 1.48428e-07, 1.64558, -1.38965e-05, 
0.09,-1.28359e-09, 1.41066e-07, 2.50541e-09, -8.62078e-08, 2.70016e-07, 2.09633e-07, 1.6475, -1.38575e-05, 
0.1,-1.83071e-09, 1.92137e-07, 3.26302e-09, -1.74958e-07, 4.12154e-07, 2.85528e-07, 1.64963, -1.38092e-05, 
0.11,-2.54079e-09, 2.54094e-07, 4.09815e-09, -3.07977e-07, 6.04119e-07, 3.77598e-07, 1.65197, -1.37507e-05, 
0.12,-3.44718e-09, 3.2791e-07, 4.98382e-09, -4.97024e-07, 8.56365e-07, 4.87294e-07, 1.65453, -1.36809e-05, 
0.13,-4.58768e-09, 4.14536e-07, 5.88415e-09, -7.55203e-07, 1.18034e-06, 6.16026e-07, 1.6573, -1.35991e-05, 
0.14,-6.00473e-09, 5.1489e-07, 6.75384e-09, -1.09696e-06, 1.58846e-06, 7.65159e-07, 1.66028, -1.35042e-05, 
0.15,-7.74565e-09, 6.29861e-07, 7.53786e-09, -1.53809e-06, 2.09416e-06, 9.36017e-07, 1.66347, -1.33956e-05, 
0.16,-9.86268e-09, 7.60306e-07, 8.17114e-09, -2.09572e-06, 2.7118e-06, 1.12987e-06, 1.66687, -1.32724e-05, 
0.17,-1.24131e-08, 9.07046e-07, 8.57836e-09, -2.78835e-06, 3.45677e-06, 1.34795e-06, 1.67047, -1.31338e-05, 
0.18,-1.54594e-08, 1.07087e-06, 8.6739e-09, -3.63578e-06, 4.34537e-06, 1.59141e-06, 1.67427, -1.29791e-05, 
0.19,-1.90689e-08, 1.25251e-06, 8.36178e-09, -4.65917e-06, 5.39489e-06, 1.86136e-06, 1.67828, -1.28076e-05, 
0.2,-2.33142e-08, 1.45269e-06, 7.53577e-09, -5.88101e-06, 6.62356e-06, 2.15887e-06, 1.68247, -1.26186e-05, 
0.21,-2.82724e-08, 1.67206e-06, 6.07959e-09, -7.32511e-06, 8.05056e-06, 2.48492e-06, 1.68687, -1.24115e-05, 
0.22,-3.40257e-08, 1.91126e-06, 3.86717e-09, -9.01658e-06, 9.69598e-06, 2.84045e-06, 1.69145, -1.21858e-05, 
0.23,-4.06606e-08, 2.17085e-06, 7.63071e-10, -1.09818e-05, 1.15808e-05, 3.2263e-06, 1.69622, -1.19408e-05, 
0.24,-4.82678e-08, 2.45138e-06, -3.37707e-09, -1.32486e-05, 1.3727e-05, 3.64329e-06, 1.70117, -1.16761e-05, 
0.25,-5.69419e-08, 2.75332e-06, -8.70594e-09, -1.58459e-05, 1.61574e-05, 4.09215e-06, 1.70631, -1.13912e-05, 
0.26,-6.67811e-08, 3.07712e-06, -1.53839e-08, -1.88038e-05, 1.88956e-05, 4.57352e-06, 1.71162, -1.10857e-05, 
0.27,-7.78866e-08, 3.42317e-06, -2.35781e-08, -2.21539e-05, 2.19661e-05, 5.088e-06, 1.71711, -1.07592e-05, 
0.28,-9.03622e-08, 3.7918e-06, -3.34619e-08, -2.59288e-05, 2.53943e-05, 5.63611e-06, 1.72277, -1.04115e-05, 
0.29,-1.04314e-07, 4.18331e-06, -4.52137e-08, -3.01624e-05, 2.92064e-05, 6.21829e-06, 1.7286, -1.00422e-05, 
0.3,-1.19849e-07, 4.59794e-06, -5.90158e-08, -3.48896e-05, 3.34291e-05, 6.83492e-06, 1.73459, -9.65105e-06, 
0.31,-1.37077e-07, 5.03588e-06, -7.50539e-08, -4.01465e-05, 3.80903e-05, 7.48628e-06, 1.74074, -9.23793e-06, 
0.32,-1.56106e-07, 5.49727e-06, -9.3515e-08, -4.59703e-05, 4.32184e-05, 8.1726e-06, 1.74704, -8.80268e-06, 
0.33,-1.77044e-07, 5.98219e-06, -1.14587e-07, -5.23992e-05, 4.88423e-05, 8.89402e-06, 1.7535, -8.3452e-06, 
