1.22,2.11012, 0.421852, 1.51361, 
1.23,2.1117, 0.422101, 1.51431, 
1.24,2.11312, 0.422326, 1.51495, 
1.25,2.11439, 0.422528, 1.51552, 
1.26,2.11551, 0.422706, 1.51602, 
1.27,2.11648, 0.42286, 1.51645, 
1.28,2.1173, 0.422989, 1.51682, 
1.29,2.11796, 0.423094, 1.51711, 
1.3,2.11846, 0.423175, 1.51734, 
1.31,2.11882, 0.42323, 1.51749, 
1.32,2.11901, 0.423262, 1.51758, 
1.33,2.11905, 0.423268, 1.5176, 
1.34,2.11894, 0.42325, 1.51755, 
1.35,2.11867, 0.423208, 1.51743, 
1.36,2.11825, 0.423141, 1.51724, 
1.37,2.11768, 0.423049, 1.51698, 
1.38,2.11695, 0.422933, 1.51666, 
1.39,2.11606, 0.422792, 1.51626, 
1.4,2.11502, 0.422627, 1.5158, 
1.41,2.11384, 0.422438, 1.51527, 
1.42,2.11249, 0.422226, 1.51467, 
1.43,2.111, 0.421989, 1.514, 
1.44,2.10936, 0.421729, 1.51326, 
1.45,2.10757, 0.421446, 1.51246, 
1.46,2.10563, 0.42114, 1.51159, 
1.47,2.10355, 0.420811, 1.51066, 
1.48,2.10131, 0.42046, 1.50966, 
1.49,2.09894, 0.420086, 1.50859, 
1.5,2.09642, 0.419691, 1.50746, 
1.51,2.09376, 0.419275, 1.50627, 
1.52,2.09097, 0.418837, 1.50501, 
1.53,2.08803, 0.418379, 1.50369, 
1.54,2.08496, 0.4179, 1.5023, 
1.55,2.08176, 0.417402, 1.50086, 
1.56,2.07842, 0.416884, 1.49936, 
1.57,2.07495, 0.416348, 1.49779, 
1.58,2.07136, 0.415793, 1.49617, 
1.59,2.06764, 0.41522, 1.49448, 
1.6,2.06379, 0.414629, 1.49275, 
1.61,2.05983, 0.414021, 1.49095, 
1.62,2.05574, 0.413398, 1.4891, 
1.63,2.05154, 0.412758, 1.48719, 
1.64,2.04723, 0.412102, 1.48523, 
1.65,2.0428, 0.411432, 1.48322, 
1.66,2.03827, 0.410748, 1.48116, 
1.67,2.03363, 0.410049, 1.47904, 
1.68,2.02888, 0.409338, 1.47688, 
1.69,2.02404, 0.408614, 1.47467, 
1.7,2.01909, 0.407878, 1.47241, 
1.71,2.01406, 0.407131, 1.47011, 
1.72,2.00893, 0.406373, 1.46776, 
1.73,2.00371, 0.405604, 1.46537, 
1.74,1.99841, 0.404826, 1.46294, 
1.75,1.99302, 0.404039, 1.46047, 
1.76,1.98756, 0.403244, 1.45795, 
1.77,1.98201, 0.40244, 1.4554, 
1.78,1.9764, 0.40163, 1.45282, 
1.79,1.97071, 0.400813, 1.4502, 
1.8,1.96496, 0.399989, 1.44754, 
1.81,1.95915, 0.399161, 1.44486, 
1.82,1.95327, 0.398327, 1.44214, 
1.83,1.94734, 0.39749, 1.43939, 
1.84,1.94135, 0.396648, 1.43662, 
1.85,1.93532, 0.395804, 1.43382, 
1.86,1.92923, 0.394957, 1.43099, 
1.87,1.92311, 0.394108, 1.42814, 
1.88,1.91694, 0.393258, 1.42528, 
1.89,1.91074, 0.392407, 1.42239, 
1.9,1.9045, 0.391556, 1.41948, 
1.91,1.89824, 0.390705, 1.41656, 
1.92,1.89195, 0.389855, 1.41362, 
1.93,1.88564, 0.389006, 1.41067, 
1.94,1.87931, 0.38816, 1.40771, 
1.95,1.87296, 0.387315, 1.40473, 
1.96,1.8666, 0.386474, 1.40175, 
1.97,1.86023, 0.385636, 1.39877, 
1.98,1.85386, 0.384802, 1.39578, 
1.99,1.84749, 0.383973, 1.39278, 
