0, 0.499954, -0.0100001, 1, 0.00999994, 0.99995, 0.00500007, -1, 0.00499985, 0.500004, 
10.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
10.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
10.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
10.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
10.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
10.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
10.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
11, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
11.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
11.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
11.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
11.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
11.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
11.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
11.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
11.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
11.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
12, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
12.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
12.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
12.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
12.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
12.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
12.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
12.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
12.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
12.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
13, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
13.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
13.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
13.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
13.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
13.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
13.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
13.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
13.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
13.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
14, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
14.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
14.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
14.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
14.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
14.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
14.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
14.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
14.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
14.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
15, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
15.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
15.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
15.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
15.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
15.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
15.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
15.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
15.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
15.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
16, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
16.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
16.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
16.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
16.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
16.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
16.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
16.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
16.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
16.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
17, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
17.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
17.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
17.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
17.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
17.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
17.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
17.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
17.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
17.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
18, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
18.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
18.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
18.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
18.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
18.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
18.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
18.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
