0, 0.499954, -0.0100001, 1, 0.00999994, 0.99995, 0.00500007, -1, 0.00499985, 0.500004, 
1.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
1.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
1.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
2.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
2.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
2.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
2.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
2.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
2.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
2.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
2.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
2.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
3.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
3.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
3.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
3.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
3.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
3.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
3.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
3.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
3.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
4.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
4.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
4.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
4.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
4.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
4.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
4.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
4.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
4.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
5.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
5.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
5.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
5.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
5.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
5.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
5.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
5.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
5.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
6.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
6.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
6.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
6.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
6.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
6.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
6.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
6.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
6.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
7.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
7.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
7.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
7.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
7.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
7.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
7.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
7.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
7.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
8.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
8.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
8.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
8.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
8.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
8.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
8.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
8.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
8.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
9.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
9.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
9.3, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
9.4, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
9.5, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
9.6, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
9.7, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
9.8, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
9.9, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
10, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
10.1, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
10.2, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, 
