0.44,5.73609e-06,9.61118e-06,6.57061e-06,9.46473e-06,8.34519e-07,-1.46447e-07,0,3.85345e-16
0.45,6.1962e-06,1.03364e-05,7.10475e-06,1.01772e-05,9.08546e-07,-1.59139e-07,0,4.04336e-16
0.46,6.68531e-06,1.11016e-05,7.67343e-06,1.09288e-05,9.88113e-07,-1.72737e-07,0,4.23372e-16
0.47,7.205e-06,1.19085e-05,8.2786e-06,1.17212e-05,1.07361e-06,-1.87298e-07,0,4.42549e-16
0.48,7.75694e-06,1.27589e-05,8.92237e-06,1.2556e-05,1.16543e-06,-2.02884e-07,0,4.61715e-16
0.49,8.34292e-06,1.36545e-05,9.60696e-06,1.34349e-05,1.26404e-06,-2.19558e-07,0,4.8063e-16
0.5,8.96482e-06,1.45972e-05,1.03347e-05,1.43598e-05,1.36991e-06,-2.37391e-07,0,5.00364e-16
0.51,9.62468e-06,1.55889e-05,1.11082e-05,1.53324e-05,1.48353e-06,-2.56454e-07,0,5.20469e-16
0.52,1.03246e-05,1.66317e-05,1.19301e-05,1.63549e-05,1.60548e-06,-2.76827e-07,0,5.40728e-16
0.53,1.10669e-05,1.77277e-05,1.28033e-05,1.74291e-05,1.73633e-06,-2.98592e-07,0,5.6115e-16
0.54,1.18541e-05,1.88792e-05,1.37308e-05,1.85573e-05,1.87673e-06,-3.21837e-07,0,5.82577e-16
0.55,1.26886e-05,2.00884e-05,1.4716e-05,1.97418e-05,2.02736e-06,-3.46657e-07,0,6.04604e-16
0.56,1.35734e-05,2.13579e-05,1.57623e-05,2.09847e-05,2.18896e-06,-3.73151e-07,0,6.27265e-16
0.57,1.45113e-05,2.26901e-05,1.68736e-05,2.22887e-05,2.36232e-06,-4.01426e-07,0,6.50243e-16
0.58,1.55056e-05,2.40878e-05,1.80539e-05,2.36562e-05,2.54832e-06,-4.31594e-07,0,6.7333e-16
0.59,1.65597e-05,2.55537e-05,1.93076e-05,2.50899e-05,2.74788e-06,-4.63778e-07,0,6.96832e-16
0.6,1.76773e-05,2.70909e-05,2.06393e-05,2.65928e-05,2.96201e-06,-4.98104e-07,0,7.21251e-16
0.61,1.88622e-05,2.87024e-05,2.2054e-05,2.81677e-05,3.19179e-06,-5.34709e-07,0,7.46686e-16
0.62,2.01188e-05,3.03915e-05,2.35572e-05,2.98178e-05,3.43841e-06,-5.73739e-07,0,7.73387e-16
0.63,2.14516e-05,3.21617e-05,2.51548e-05,3.15463e-05,3.70314e-06,-6.15348e-07,0,8.00711e-16
0.64,2.28655e-05,3.40165e-05,2.68529e-05,3.33568e-05,3.98737e-06,-6.59701e-07,0,8.29084e-16
0.65,2.43659e-05,3.59597e-05,2.86585e-05,3.52528e-05,4.2926e-06,-7.06972e-07,0,8.57762e-16
0.66,2.59584e-05,3.79955e-05,3.05789e-05,3.72381e-05,4.62046e-06,-7.57349e-07,0,8.86091e-16
0.67,2.76493e-05,4.01279e-05,3.2622e-05,3.93169e-05,4.97273e-06,-8.11029e-07,0,9.14595e-16
0.68,2.94453e-05,4.23615e-05,3.47966e-05,4.14932e-05,5.35134e-06,-8.68223e-07,0,9.43688e-16
0.69,3.13536e-05,4.47009e-05,3.7112e-05,4.37717e-05,5.75839e-06,-9.29155e-07,0,9.73328e-16
0.7,3.33822e-05,4.71512e-05,3.95784e-05,4.61571e-05,6.19617e-06,-9.94062e-07,0,1.0038e-15
