0,0.000511985,-0.000279699,-0.00116681,0.00107464,-0.000279699,0.000142125,0.0011253,4.08562e-17,1.09209e-17,
0.01,0.005632,-0.00307724,-0.0128357,0.0118214,-0.00307724,0.00156366,0.0123788,5.9508e-16,4.36837e-17,
0.02,0.0107528,-0.00587771,-0.0245088,0.0225702,-0.00587771,0.00298667,0.0236347,8.88178e-16,5.46046e-17,
0.03,0.0158751,-0.00868381,-0.0361899,0.0333227,-0.00868381,0.00441251,0.0348951,1.25766e-15,1.09209e-16,
0.04,0.0209996,-0.0114983,-0.047883,0.0440808,-0.0114983,0.00584257,0.0461622,1.56142e-15,1.41972e-16,
0.05,0.0261271,-0.0143238,-0.0595918,0.0548461,-0.0143238,0.00727823,0.0574382,2.08189e-15,1.74735e-16,
0.06,0.0312581,-0.0171632,-0.0713202,0.0656206,-0.0171632,0.00872086,0.0687251,2.3519e-15,2.4026e-16,
0.07,0.0363934,-0.0200192,-0.0830723,0.0764059,-0.0200192,0.0101719,0.080025,2.74269e-15,2.18419e-16,
0.08,0.0415338,-0.0228947,-0.0948519,0.0872039,-0.0228947,0.0116327,0.0913402,3.13527e-15,2.62102e-16,
0.09,0.0466798,-0.0257923,-0.106663,0.0980162,-0.0257923,0.0131046,0.102673,3.49765e-15,3.16707e-16,
0.1,0.0518322,-0.028715,-0.11851,0.108845,-0.028715,0.0145893,0.114025,3.87601e-15,2.62102e-16,
0.11,0.0569917,-0.0316657,-0.130396,0.119691,-0.0316657,0.016088,0.125398,4.25437e-15,2.73023e-16,
0.12,0.0621588,-0.0346472,-0.142326,0.130557,-0.0346472,0.0176022,0.136795,4.66471e-15,2.94865e-16,
0.13,0.0673344,-0.0376625,-0.154304,0.141444,-0.0376625,0.0191335,0.148218,4.93294e-15,3.05786e-16,
0.14,0.0725191,-0.0407147,-0.166334,0.152354,-0.0407147,0.0206833,0.159669,5.31308e-15,3.38549e-16,
0.15,0.0777135,-0.0438067,-0.17842,0.163288,-0.0438067,0.0222532,0.17115,5.77316e-15,3.71311e-16,
0.16,0.0829182,-0.0469417,-0.190567,0.174249,-0.0469417,0.0238448,0.182662,6.20481e-15,3.71311e-16,
0.17,0.0881339,-0.0501228,-0.20278,0.185238,-0.0501228,0.0254596,0.194208,6.82476e-15,5.13284e-16,
0.18,0.0933612,-0.0533534,-0.215062,0.196256,-0.0533534,0.0270992,0.20579,7.25464e-15,5.46046e-16,
